"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","96","500","97","76","25","24","""-665460302""","39.645846007135695","39.645846007135695","39.645846007135695","0","39.645846007135695"
"1","97","500","97","76","25","24","""1933393050""","39.556110053188","39.556110053188","39.556110053188","0","39.556110053188"
"1","98","500","97","76","25","24","""1782812397""","39.49247410665922","39.49247410665922","39.49247410665922","0","39.49247410665922"
"1","99","500","97","76","25","24","""-1814107532""","39.602039138299624","39.602039138299624","39.602039138299624","0","39.602039138299624"
"1","100","500","97","76","25","24","""-32225332""","39.493658408359074","39.493658408359074","39.493658408359074","0","39.493658408359074"
"1","101","500","59","42","24","21","""1431416049""","1.2974375608173856","1.2974375608173856","1.2974375608173856","0","1.2974375608173856"
"1","102","500","59","42","24","21","""1832347612""","1.4339236139187623","1.4339236139187623","1.4339236139187623","0","1.4339236139187623"
"1","103","500","59","42","24","21","""2049718256""","1.412987575454078","1.412987575454078","1.412987575454078","0","1.412987575454078"
"1","104","500","59","42","24","21","""-1883421234""","1.3628161275552801","1.3628161275552801","1.3628161275552801","0","1.3628161275552801"
"1","105","500","59","42","24","21","""-169176427""","1.388365710595706","1.388365710595706","1.388365710595706","0","1.388365710595706"
"1","106","500","59","42","24","21","""-141599385""","1.35000135000135","1.35000135000135","1.35000135000135","0","1.35000135000135"
"1","107","500","59","42","24","21","""1798483325""","1.3428417653390743","1.3428417653390743","1.3428417653390743","0","1.3428417653390743"
"1","108","500","59","42","24","21","""-521375961""","1.3216216216216217","1.3216216216216217","1.3216216216216217","0","1.3216216216216217"
"1","109","500","59","42","24","21","""149952742""","1.316712535750904","1.316712535750904","1.316712535750904","0","1.316712535750904"
"1","110","500","59","42","24","21","""1674141296""","1.186178442496132","1.186178442496132","1.186178442496132","0","1.186178442496132"
"1","111","500","81","72","16","10","""-239401079""","26.753789446711213","26.753789446711213","26.753789446711213","0","26.753789446711213"
"1","112","500","81","72","16","10","""1429416448""","25.81259697154192","25.81259697154192","25.81259697154192","0","25.81259697154192"
"1","113","500","81","72","16","10","""291636579""","26.44616716511884","26.44616716511884","26.44616716511884","0","26.44616716511884"
"1","114","500","81","72","16","10","""-762490094""","26.485805905844856","26.485805905844856","26.485805905844856","0","26.485805905844856"
"1","115","500","81","72","16","10","""1695562427""","25.99834267224371","25.99834267224371","25.99834267224371","0","25.99834267224371"
"1","116","500","81","72","16","10","""132778255""","25.86790521923955","25.86790521923955","25.86790521923955","0","25.86790521923955"
"1","117","500","81","72","16","10","""-1989476414""","25.010834022771146","25.010834022771146","25.010834022771146","0","25.010834022771146"
"1","118","500","81","72","16","10","""-413678047""","26.327251324308413","26.327251324308413","26.327251324308413","0","26.327251324308413"
"1","119","500","81","72","16","10","""-332990642""","25.975019118021926","25.975019118021926","25.975019118021926","0","25.975019118021926"
"1","120","500","81","72","16","10","""1739845796""","25.801505710298194","25.801505710298194","25.801505710298194","0","25.801505710298194"
"1","121","500","78","94","20","6","""-1532227588""","33.352389897298735","33.352389897298735","33.352389897298735","0","33.352389897298735"
