"search-number","evaluation","evals-requested-so-far","density*","probability-of-spread*","south-wind-speed*","west-wind-speed*","random-seed","min-result","max-result","mean-result","stdev-result","final-step-result"
"1","45","160","80","67","15","20","""-408929338""","25.735499580855052","25.735499580855052","25.735499580855052","0","25.735499580855052"
"1","46","160","80","67","15","20","""-1664146041""","26.55693330414187","26.55693330414187","26.55693330414187","0","26.55693330414187"
"1","47","160","80","67","15","20","""1761735547""","25.474070821190466","25.474070821190466","25.474070821190466","0","25.474070821190466"
"1","48","160","80","67","15","20","""2038051166""","26.427762658667888","26.427762658667888","26.427762658667888","0","26.427762658667888"
"1","49","160","80","67","15","20","""-1439701364""","25.755521888206683","25.755521888206683","25.755521888206683","0","25.755521888206683"
"1","50","160","80","67","15","20","""-2088392129""","26.53012288939954","26.53012288939954","26.53012288939954","0","26.53012288939954"
"1","51","160","96","60","15","5","""-709977424""","26.421171470314782","26.421171470314782","26.421171470314782","0","26.421171470314782"
"1","52","160","96","60","15","5","""-728827678""","26.350039011271768","26.350039011271768","26.350039011271768","0","26.350039011271768"
"1","53","160","96","60","15","5","""271143416""","26.36775467533976","26.36775467533976","26.36775467533976","0","26.36775467533976"
"1","54","160","96","60","15","5","""2136266476""","25.798057480027847","25.798057480027847","25.798057480027847","0","25.798057480027847"
"1","55","160","96","60","15","5","""653817601""","26.822428355707483","26.822428355707483","26.822428355707483","0","26.822428355707483"
"1","56","160","96","60","15","5","""-1743141873""","26.62982141671646","26.62982141671646","26.62982141671646","0","26.62982141671646"
"1","57","160","96","60","15","5","""-1186797417""","26.315090990527697","26.315090990527697","26.315090990527697","0","26.315090990527697"
"1","58","160","96","60","15","5","""-200986808""","26.17555640509948","26.17555640509948","26.17555640509948","0","26.17555640509948"
"1","59","160","96","60","15","5","""-2146069280""","25.768254863264733","25.768254863264733","25.768254863264733","0","25.768254863264733"
"1","60","160","96","60","15","5","""2004361154""","25.98333720582866","25.98333720582866","25.98333720582866","0","25.98333720582866"
"1","61","160","81","59","19","15","""-819731933""","13.947311468314085","13.947311468314085","13.947311468314085","0","13.947311468314085"
"1","62","160","81","59","19","15","""1927588738""","13.714858254258267","13.714858254258267","13.714858254258267","0","13.714858254258267"
"1","63","160","81","59","19","15","""-759419709""","10.107260726072607","10.107260726072607","10.107260726072607","0","10.107260726072607"
"1","64","160","81","59","19","15","""1007359247""","14.974274055236855","14.974274055236855","14.974274055236855","0","14.974274055236855"
"1","65","160","81","59","19","15","""-1933627064""","13.022571148184495","13.022571148184495","13.022571148184495","0","13.022571148184495"
"1","66","160","81","59","19","15","""-1397345841""","14.345044779057178","14.345044779057178","14.345044779057178","0","14.345044779057178"
"1","67","160","81","59","19","15","""-1801648190""","13.036027340595268","13.036027340595268","13.036027340595268","0","13.036027340595268"
"1","68","160","81","59","19","15","""1874007214""","12.23766586604717","12.23766586604717","12.23766586604717","0","12.23766586604717"
"1","69","160","81","59","19","15","""-115546962""","14.020439910993836","14.020439910993836","14.020439910993836","0","14.020439910993836"
"1","70","160","81","59","19","15","""-505174017""","15.321658186407921","15.321658186407921","15.321658186407921","0","15.321658186407921"
"1","71","160","42","66","22","16","""600131773""","1.6139420344762265","1.6139420344762265","1.6139420344762265","0","1.6139420344762265"
"1","72","160","42","66","22","16","""1949363129""","1.7972926857012854","1.7972926857012854","1.7972926857012854","0","1.7972926857012854"
